Plant Code,Plant Name,FIPS
2,Bankhead Dam,p01125
3,Barry,p01097
4,Walter Bouldin Dam,p01051
7,Gadsden,p01055
8,Gorgas,p01127
9,Copper,p48141
10,Greene County,p01063
11,H Neely Henry Dam,p01015
12,Holt Dam,p01125
13,Jordan Dam,p01051
14,Logan Martin Dam,p01115
15,Lay Dam,p01021
16,Martin Dam,p01051
17,Mitchell Dam,p01021
18,Lewis Smith Dam,p01127
19,Thurlow Dam,p01123
20,Weiss Dam,p01019
21,Yates Dam,p01051
26,E C Gaston,p01117
30,Madelia,p27165
34,Rollins,p06061
38,Millers Ferry,p01131
46,Browns Ferry,p01083
47,Colbert,p01033
48,Guntersville,p01095
49,Wheeler Dam,p01077
50,Widows Creek,p01071
51,Dolet Hills,p22031
53,Gantt,p01039
54,J K Smith,p21049
55,Point A,p01039
56,Charles R Lowman,p01129
59,Platte,p31079
60,Whelan Energy Center,p31001
72,Venice Hydro,p06037
87,Escalante,p35031
88,Ashokan,p36111
99,Frederickson,p53053
100,South Consolidated,p04013
104,J S Eastwood,p06019
108,Holcomb,p20055
112,Childs,p04025
113,Cholla,p04017
114,Douglas,p04003
115,Irving,p04007
116,Ocotillo,p04013
117,West Phoenix,p04013
118,Saguaro,p04021
120,Yucca,p04027
124,Demoss Petrie,p04019
126,H Wilson Sundt Generating Station,p04019
127,Oklaunion,p48487
130,Cross,p45015
136,Seminole (FL),p12107
141,Agua Fria,p04013
143,Crosscut,p04013
145,Horse Mesa,p04013
147,Kyrene,p04013
148,Mormon Flat,p04013
149,Roosevelt,p04013
150,Stewart Mountain,p04013
151,McClure,p06099
152,Davis Dam,p04015
153,Glen Canyon Dam,p04005
154,Hoover Dam (NV),p04015
159,Lake Creek Dam,p49051
160,Apache Station,p04003
161,Turlock Lake,p06099
162,Hickman,p06099
164,Big Pine,p12087
165,GREC,p40097
166,Carpenter,p05051
167,Cecil Lynch,p05119
168,Hamilton Moses,p05123
169,Harvey Couch,p05073
170,Lake Catherine,p05059
171,Mabelvale,p05119
172,Osceola (AR),p05093
173,Robert E Ritchie,p05107
174,Remmel,p05059
180,Volta 2,p06089
182,Beaver Dam,p05015
187,Degray,p05019
188,Greers Ferry Lake,p05023
192,Paragould,p05055
193,Municipal Light,p05021
195,Narrows (AR),p05109
196,Norfork,p05005
197,Blakely Mountain,p05051
198,Bull Shoals,p05005
199,Dardanelle,p05115
201,Thomas Fitzhugh,p05047
202,Carl Bailey,p05147
203,McClellan (AR),p05103
204,Clinton Power Station,p17039
207,St Johns River Power Park,p12031
210,Wolf Creek Generating Station,p20031
